Year,Total_Cost_USD,NPV_Cost_USD,Energy_Cost_USD,PM_Asset_USD,PM_Modules_USD,CM_USD,Repl_Chassis_CapEx_USD,Repl_Modules_CapEx_USD,Units_Replaced,PM_Total_USD,Repl_Total_CapEx_USD,Run_ID
2022,280502530.1268101,280502530.1268101,115611150.74681458,94756216.18499313,1981300.0,1861000.0,65492863.19500236,800000.0,1149,96737516.18499313,66292863.19500236,0
2023,299033372.98889345,287532089.4123975,118216795.14514737,107334959.52937786,1981300.0,2082300.0,68298018.3143682,1120000.0,1263,109316259.52937786,69418018.3143682,0
2024,296830763.23661715,274436726.36521554,118223757.13082516,104327247.2509345,1989400.0,2096000.0,69554358.85485747,640000.0,1308,106316647.2509345,70194358.85485747,0
2025,291597320.811181,259228956.39933452,116559892.44352916,97025376.49875446,2015500.0,2202600.0,72353951.86889741,1440000.0,1322,99040876.49875446,73793951.86889741,0
2026,317585179.7563914,271473142.66469216,121770947.21443279,113654819.9205165,2024500.0,2318900.0,76856012.6214421,960000.0,1368,115679319.9205165,77816012.6214421,0
2027,297787690.0656972,244759774.524249,115836425.41959545,101763384.51281518,2024500.0,2225200.0,74018180.13328655,1920000.0,1322,103787884.51281518,75938180.13328655,0
2028,292863400.41135436,231454199.3998173,117700721.65727387,101714989.39763042,2052500.0,2112300.0,67362889.35645007,1920000.0,1314,103767489.39763042,69282889.35645007,0
2029,305755348.920805,232348936.12673196,117186862.38969441,109909509.56862941,2052500.0,2292700.0,72873776.96248114,1440000.0,1365,111962009.56862941,74313776.96248114,0
2030,309488003.29837644,226139852.57574534,117325679.65160252,105308185.54847135,2052500.0,2473900.0,80247738.09830256,2080000.0,1393,107360685.54847135,82327738.09830256,0
2031,313389258.0039202,220183135.74644616,118485510.1607916,112106259.77388677,2052500.0,2273200.0,77671788.0692418,800000.0,1387,114158759.77388677,78471788.0692418,0
2032,305143822.2361463,206144232.64128938,116280243.62167722,103226204.7348659,2070500.0,2443600.0,79523273.87960315,1600000.0,1353,105296704.7348659,81123273.87960315,0
2033,297405795.5028513,193189133.69505692,115041058.82614604,106046187.98308416,2098500.0,2126800.0,70813248.69362113,1280000.0,1313,108144687.98308416,72093248.69362113,0
